"sample","DNA","RNA","ALL"
"BAT0805",0,0,0
"BAT1597",0,1,1
"BAT2126",0,1,1
"BAT2431",0,0,0
"BAT1605",0,1,1
"BAT2379",0,0,0
"BAT2271",0,0,0
"BAT616",1,0,1
"BAT936",0,1,1
"BAT2485",0,1,1
"BAT1210",2,0,2
"BAT2744",0,0,0
"BAT0794",0,1,1
"BAT1121",0,0,0
"BAT0804",0,0,0
"BAT2135",0,0,0
"BAT2236",0,0,0
"BAT2328",1,0,1
"BAT621",1,2,3
"BAT2268",0,0,0
"UGR35",0,0,0
"BAT1593",0,0,0
"BAT2576",0,0,0
"BAT2435",1,0,1
"BAT1596",0,2,2
"BAT407",0,2,2
"BAT0798",0,1,1
"BAT632",1,0,1
"BAT1050",0,0,0
"BAT2383",0,0,0
"BAT1063",0,0,0
"BAT0806",1,0,1
"BAT2004",0,0,0
"BAT1062",0,0,0
"BAT4",0,0,0
"BAT2427",0,0,0
"BAT2745",0,0,0
"BAT2079",0,0,0
"UGR40",0,0,0
"UGR46",1,0,1
"BAT2078",0,0,0
"BAT2480",1,1,2
"BAT2321",0,0,0
"UGR37",0,0,0
"BAT2735",0,0,0
"BAT608",0,0,0
"BAT2734",1,1,2
"BAT598",0,0,0
"BAT1587",0,0,0
"UGR50",0,0,0
"BAT0797",0,0,0
"BAT1545",1,2,3
"BAT619",1,1,2
"BAT2793",0,0,0
"BAT1211",3,0,3
"BAT626",1,0,1
"BAT601",0,0,0
"UGR2",0,0,0
"BAT1060",0,0,0
"BAT0640",1,1,2
"BAT2798",0,2,2
"BAT591",0,0,0
"BAT1548",6,1,7
"BAT1989",0,1,1
"BAT258",0,2,2
"BAT1555",6,0,6
"BAT2384",0,0,0
"BAT2484",0,1,1
"BAT1827",0,1,1
"BAT611",0,0,0
"BAT1552",4,3,7
"BAT1225",2,1,3
"BAT2476",0,2,2
"UGR12",0,0,0
"BAT605",0,1,1
"BAT256",5,1,6
"BAT1047",0,0,0
"UGR47",0,0,0
"BAT1834",0,0,0
"BAT260",6,2,8
"BAT1221",2,2,4
"BAT2593",0,0,0
"BAT2736",1,1,2
"UGR93",0,0,0
"BAT2428",0,0,0
"BAT2003",0,0,0
"BAT2426",0,0,0
"BAT408",1,2,3
"BAT2728",0,0,0
"BAT2234",0,0,0
"UGR71",1,1,2
"BAT2730",0,0,0
"BAT2083",0,0,0
"UGR3",0,0,0
"BAT612",0,0,0
"BAT1227",3,1,4
"BAT2579",1,0,1
"BAT1839",0,0,0
"BAT1595",0,1,1
"BAT1228",2,0,2
"UGR14",0,0,0
"BAT606",0,1,1
"BAT2430",0,1,1
"BAT1546",0,0,0
"BFS079",0,0,0
"UR4",0,0,0
"BAT515",0,0,0
"BAT1540",0,0,0
"BAT1059",0,0,0
"BAT2125",0,0,0
"UGR22",0,0,0
"BAT1214",0,0,0
"BAT2737",0,1,1
"BAT2803",0,3,3
"BAT595",0,1,1
"UGR28",0,0,0
"BAT0652",0,0,0
"BAT625",1,0,1
"UGR90",0,1,1
"BAT0647",1,1,2
"BAT1217",1,1,2
"BAT1470",1,0,1
"BAT22",0,1,1
"UGR9",0,0,0
"BAT0641",0,2,2
"UV7",0,0,0
"BAT2577",0,0,0
"BAT613",3,2,5
"UR19",0,0,0
"BAT2482",1,1,2
"UV10",0,0,0
"BAT418",0,0,0
"BAT1542",3,4,7
"BAT1219",3,1,4
"BAT2478",0,0,0
"BAT0636",3,0,3
"BAT2794",0,2,2
"UGR72",0,1,1
"BAT1223",0,0,0
"BAT1987",0,0,0
"BAT415",0,2,2
"UGR68",0,2,2
"BAT2235",1,0,1
"BAT12",0,1,1
"UGR19",0,0,0
"UGR43",0,0,0
"BAT1313",0,3,3
"BAT503",0,0,0
"BAT2795",0,2,2
"BAT0800",0,0,0
"BAT630",1,1,2
"BAT2739",0,0,0
"BFS074",0,0,0
"UV9",0,3,3
"UGR49",1,1,2
"BAT499",0,1,1
"UR23",1,0,1
"UR16",0,1,1
"BAT0646",1,0,1
"BAT602",0,0,0
"BAT505",0,0,0
"UR30",0,2,2
"BAT399",0,2,2
"BAT2073",0,0,0
"BAT627",2,0,2
"BAT1828",0,1,1
"BAT1",0,1,1
"BAT1229",2,0,2
"UV38",0,2,2
"BAT404",0,0,0
"BAT1465",0,0,0
"UGR82",0,0,0
"BAT1606",0,0,0
"BAT593",0,0,0
"BAT5",0,0,0
"BAT0811",0,1,1
"UV11",0,2,2
"BAT0812",0,2,2
"BAT594",0,1,1
"UGR95",0,0,0
"BAT1838",0,3,3
"BAT405",0,1,1
"BAT273",0,1,1
"UGR31",0,1,1
"BAT19",0,4,4
"BAT1537",3,4,7
"BAT1226",2,1,3
"BAT262",5,2,7
"BAT2477",0,2,2
"BAT504",0,1,1
"UGR26",0,0,0
"BAT620",2,0,2
"BAT1538",3,3,6
"UR13",0,2,2
"BAT1213",2,1,3
"BAT1588",0,0,0
"UGR64",0,0,0
"UV17",1,4,5
"BAT1539",4,1,5
"BAT0796",0,1,1
"UR14",1,1,2
"UGR53",1,0,1
"UGR18",0,0,0
"BAT269",2,1,3
"UGR66",0,0,0
"UGR85",0,0,0
"BAT2481",0,1,1
"BAT416",1,1,2
"BAT500",0,1,1
"BAT1836",0,1,1
"UR2",0,1,1
"UR7",0,0,0
"UR22",0,0,0
"UGR44",0,2,2
"BAT1224",2,0,2
"BAT0802",0,1,1
"UR29",0,0,0
"UR20",0,3,3
"UGR7",0,0,0
"UV15",0,2,2
"UGR88",0,0,0
"QEPC092R",0,0,0
"BAT1831",0,1,1
"UR17",0,0,0
"BAT0651",0,0,0
"BAT0644",0,0,0
"BAT1830",0,0,0
"BAT270",0,1,1
"BAT1832",0,0,0
"UGR86",0,0,0
"BAT1841",0,3,3
"UR1",0,1,1
"BAT0807",0,1,1
"UR42",0,0,0
"BAT2786",0,3,3
"BAT410",0,0,0
"BAT412",0,0,0
"UGR84",0,0,0
"UR46",0,0,0
"BAT2801",1,2,3
"BAT502",0,1,1
"UR18",0,1,1
"BAT0810",1,1,2
"BAT1469",0,0,0
"BAT1212",1,0,1
"BAT2001",0,1,1
"BAT617",1,0,1
"BAT414",0,0,0
"UGR5",0,2,2
"UV13",0,1,1
"UR47",0,2,2
"BAT2797",0,3,3
"BAT0649",1,0,1
"UR6",0,0,0
"UGR78",0,0,0
"BAT1215",0,0,0
"UR15",0,1,1
"BAT2483",0,0,0
"UGR65",0,2,2
"UR51",0,2,2
"UR49",0,0,0
"UR48",0,1,1
"UR28",0,0,0
"UV6",0,0,0
"UGR11",0,0,0
