"genus","DNA","RNA","ALL","CroplandSize","PastureSize","TotalPopulationSize","Elevation","DistanceToClosestTown","MammalSympatry","AdultBodyMass_g","AdultForearmLen_mm","DietBreadth","LitterSize","LittersPerYear","PopulationGrpSize","TrophicLevel","BodyMassValue","RWL","AR","Forearm","Mass","Pulse","GroupSize","Lifespan","CleanDataSize","CleanQ30","TotalContigLength","ContigCount","neighborSampleNum","neighborBatGenus","neighborDNAvirusMean","neighborRNAvirusMean"
"Otomops",0,0,0,59.197052,21.3153801,14978.94727,1691,54290.75737,148,34.92,59.46,1.333333333,0.995,1,2.995732274,2.666666667,23.45571429,46.19788501,9.536666665,65.55833336,36.10333333,1,31.50000002,86,4986540077,94.33,320044234,"579580",19,2,0,0
"Otomops",0,1,1,59.197052,21.3153801,14978.94727,1691,54290.75737,148,34.92,59.46,1.333333333,0.995,1,2.995732274,2.666666667,23.45571429,46.19788501,9.536666665,65.55833336,36.10333333,1,31.50000002,86,4503597752,93.91,421101712,"724217",19,2,0,0
"Otomops",0,0,0,59.197052,21.3153801,14978.94727,1691,54290.75737,148,34.92,59.46,1.333333333,0.995,1,2.995732274,2.666666667,23.45571429,46.19788501,9.536666665,65.55833336,36.10333333,1,31.50000002,86,7526638950,85.95,156172855,"322131",19,2,0,0
"Otomops",0,1,1,59.197052,21.3153801,14978.94727,1691,54290.75737,148,34.92,59.46,1.333333333,0.995,1,2.995732274,2.666666667,23.45571429,46.19788501,9.536666665,65.55833336,36.10333333,1,31.50000002,86,9569054728,93.94,863658760,"1076826",19,2,0,0
"Otomops",0,1,1,59.197052,21.3153801,14978.94727,1691,54290.75737,148,34.92,59.46,1.333333333,0.995,1,2.995732274,2.666666667,23.45571429,46.19788501,9.536666665,65.55833336,36.10333333,1,31.50000002,86,4003541922,94.47,198191917,"397669",19,2,0,0
"Otomops",0,0,0,59.197052,21.3153801,14978.94727,1691,54290.75737,148,34.92,59.46,1.333333333,0.995,1,2.995732274,2.666666667,23.45571429,46.19788501,9.536666665,65.55833336,36.10333333,1,31.50000002,86,4368356557,92.29,205366516,"335473",19,2,0,0
"Otomops",0,0,0,59.197052,21.3153801,14978.94727,1691,54290.75737,148,34.92,59.46,1.333333333,0.995,1,2.995732274,2.666666667,23.45571429,46.19788501,9.536666665,65.55833336,36.10333333,1,31.50000002,86,4152008183,93.76,225599712,"425697",19,2,0,0
"Otomops",1,0,1,59.197052,21.3153801,14978.94727,1691,54290.75737,148,34.92,59.46,1.333333333,0.995,1,2.995732274,2.666666667,23.45571429,46.19788501,9.536666665,65.55833336,36.10333333,1,31.50000002,86,4624409350,95.29,147699254,"266498",19,2,0,0
"Otomops",0,1,1,59.197052,21.3153801,14978.94727,1691,54290.75737,148,34.92,59.46,1.333333333,0.995,1,2.995732274,2.666666667,23.45571429,46.19788501,9.536666665,65.55833336,36.10333333,1,31.50000002,86,10391178656,93.55,868390874,"1055699",19,2,0,0
"Otomops",1,0,1,59.197052,21.3153801,14978.94727,1691,54290.75737,148,34.92,59.46,1.333333333,0.995,1,2.995732274,2.666666667,23.45571429,46.19788501,9.536666665,65.55833336,36.10333333,1,31.50000002,86,3403100710,94.8,124785725,"247997",19,2,0,0
