"root_ID","neighbor","distance"
"BAT0636","BAT597",0
"BAT0636","BAT598",0
"BAT0636","BAT599",0
"BAT0636","BAT600",0
"BAT0636","BAT601",0
"BAT0636","BAT602",0
"BAT0636","BAT603",0
"BAT0636","BAT604",0
"BAT0636","BAT605",0
"BAT0636","BAT606",0
"BAT0636","BAT607",0
"BAT0636","BAT608",0
"BAT0636","BAT609",0
"BAT0636","BAT610",0
"BAT0636","BAT611",0
"BAT0636","BAT612",0
"BAT0636","BAT613",0
"BAT0636","BAT614",0
"BAT0636","BAT615",0
"BAT0636","BAT616",0
"BAT0636","BAT617",0
"BAT0636","BAT618",0
"BAT0636","BAT619",0
"BAT0636","BAT620",0
"BAT0636","BAT621",0
"BAT0636","BAT624",0
"BAT0636","BAT625",0
"BAT0636","BAT626",0
"BAT0636","BAT627",0
"BAT0636","BAT630",0
"BAT0636","BAT631",0
"BAT0636","BAT632",0
"BAT0637","BAT0633",0
"BAT0637","BAT0634",0
"BAT0637","BAT0635",0
"BAT0637","BAT0636",0
"BAT0637","BAT0638",0
"BAT0637","BAT0639",0
"BAT0637","BAT0640",0
"BAT0637","BAT0641",0
"BAT0637","BAT0642",0
"BAT0637","BAT0643",0
"BAT0637","BAT0644",0
"BAT0637","BAT0645",0
"BAT0637","BAT0646",0
"BAT0637","BAT0647",0
"BAT0637","BAT0648",0
"BAT0637","BAT0649",0
"BAT0637","BAT0650",0
"BAT0637","BAT0651",0
"BAT0637","BAT0652",0
"BAT0637","BAT582",0
"BAT0637","BAT591",0
"BAT0637","BAT592",0
"BAT0637","BAT593",0
"BAT0637","BAT594",0
"BAT0637","BAT595",0
"BAT0637","BAT596",0
"BAT0637","BAT597",0
"BAT0637","BAT598",0
"BAT0637","BAT599",0
"BAT0637","BAT600",0
"BAT0637","BAT601",0
"BAT0637","BAT602",0
"BAT0637","BAT603",0
"BAT0637","BAT604",0
"BAT0637","BAT605",0
"BAT0637","BAT606",0
"BAT0637","BAT607",0
"BAT0637","BAT608",0
"BAT0637","BAT609",0
"BAT0637","BAT610",0
"BAT0637","BAT611",0
"BAT0637","BAT612",0
"BAT0637","BAT613",0
"BAT0637","BAT614",0
"BAT0637","BAT615",0
"BAT0637","BAT616",0
"BAT0637","BAT617",0
"BAT0637","BAT618",0
"BAT0637","BAT619",0
"BAT0637","BAT620",0
"BAT0637","BAT621",0
"BAT0637","BAT624",0
"BAT0637","BAT625",0
"BAT0637","BAT626",0
"BAT0637","BAT627",0
"BAT0637","BAT630",0
"BAT0637","BAT631",0
"BAT0637","BAT632",0
"BAT0638","BAT0633",0
"BAT0638","BAT0634",0
"BAT0638","BAT0635",0
"BAT0638","BAT0636",0
"BAT0638","BAT0637",0
"BAT0638","BAT0639",0
"BAT0638","BAT0640",0
"BAT0638","BAT0641",0
"BAT0638","BAT0642",0
"BAT0638","BAT0643",0
"BAT0638","BAT0644",0
"BAT0638","BAT0645",0
"BAT0638","BAT0646",0
"BAT0638","BAT0647",0
"BAT0638","BAT0648",0
"BAT0638","BAT0649",0
"BAT0638","BAT0650",0
"BAT0638","BAT0651",0
"BAT0638","BAT0652",0
"BAT0638","BAT582",0
"BAT0638","BAT591",0
"BAT0638","BAT592",0
"BAT0638","BAT593",0
"BAT0638","BAT594",0
"BAT0638","BAT595",0
"BAT0638","BAT596",0
"BAT0638","BAT597",0
"BAT0638","BAT598",0
"BAT0638","BAT599",0
"BAT0638","BAT600",0
"BAT0638","BAT601",0
"BAT0638","BAT602",0
"BAT0638","BAT603",0
"BAT0638","BAT604",0
"BAT0638","BAT605",0
"BAT0638","BAT606",0
"BAT0638","BAT607",0
"BAT0638","BAT608",0
"BAT0638","BAT609",0
"BAT0638","BAT610",0
"BAT0638","BAT611",0
"BAT0638","BAT612",0
"BAT0638","BAT613",0
"BAT0638","BAT614",0
"BAT0638","BAT615",0
"BAT0638","BAT616",0
"BAT0638","BAT617",0
"BAT0638","BAT618",0
"BAT0638","BAT619",0
"BAT0638","BAT620",0
"BAT0638","BAT621",0
"BAT0638","BAT624",0
"BAT0638","BAT625",0
"BAT0638","BAT626",0
"BAT0638","BAT627",0
"BAT0638","BAT630",0
"BAT0638","BAT631",0
"BAT0638","BAT632",0
"BAT0639","BAT0633",0
"BAT0639","BAT0634",0
"BAT0639","BAT0635",0
"BAT0639","BAT0636",0
"BAT0639","BAT0637",0
"BAT0639","BAT0638",0
"BAT0639","BAT0640",0
"BAT0639","BAT0641",0
"BAT0639","BAT0642",0
"BAT0639","BAT0643",0
"BAT0639","BAT0644",0
"BAT0639","BAT0645",0
"BAT0639","BAT0646",0
"BAT0639","BAT0647",0
"BAT0639","BAT0648",0
"BAT0639","BAT0649",0
"BAT0639","BAT0650",0
"BAT0639","BAT0651",0
"BAT0639","BAT0652",0
"BAT0639","BAT582",0
"BAT0639","BAT591",0
"BAT0639","BAT592",0
"BAT0639","BAT593",0
"BAT0639","BAT594",0
"BAT0639","BAT595",0
"BAT0639","BAT596",0
"BAT0639","BAT597",0
"BAT0639","BAT598",0
"BAT0639","BAT599",0
"BAT0639","BAT600",0
"BAT0639","BAT601",0
"BAT0639","BAT602",0
"BAT0639","BAT603",0
"BAT0639","BAT604",0
"BAT0639","BAT605",0
"BAT0639","BAT606",0
"BAT0639","BAT607",0
"BAT0639","BAT608",0
"BAT0639","BAT609",0
"BAT0639","BAT610",0
"BAT0639","BAT611",0
"BAT0639","BAT612",0
"BAT0639","BAT613",0
"BAT0639","BAT614",0
"BAT0639","BAT615",0
"BAT0639","BAT616",0
"BAT0639","BAT617",0
"BAT0639","BAT618",0
"BAT0639","BAT619",0
"BAT0639","BAT620",0
"BAT0639","BAT621",0
"BAT0639","BAT624",0
"BAT0639","BAT625",0
"BAT0639","BAT626",0
"BAT0639","BAT627",0
"BAT0639","BAT630",0
"BAT0639","BAT631",0
"BAT0639","BAT632",0
"BAT0640","BAT0633",0
"BAT0640","BAT0634",0
"BAT0640","BAT0635",0
"BAT0640","BAT0636",0
"BAT0640","BAT0637",0
"BAT0640","BAT0638",0
"BAT0640","BAT0639",0
"BAT0640","BAT0641",0
"BAT0640","BAT0642",0
"BAT0640","BAT0643",0
"BAT0640","BAT0644",0
"BAT0640","BAT0645",0
"BAT0640","BAT0646",0
"BAT0640","BAT0647",0
"BAT0640","BAT0648",0
"BAT0640","BAT0649",0
"BAT0640","BAT0650",0
"BAT0640","BAT0651",0
"BAT0640","BAT0652",0
"BAT0640","BAT582",0
"BAT0640","BAT591",0
"BAT0640","BAT592",0
"BAT0640","BAT593",0
"BAT0640","BAT594",0
"BAT0640","BAT595",0
"BAT0640","BAT596",0
"BAT0640","BAT597",0
"BAT0640","BAT598",0
"BAT0640","BAT599",0
"BAT0640","BAT600",0
"BAT0640","BAT601",0
"BAT0640","BAT602",0
"BAT0640","BAT603",0
"BAT0640","BAT604",0
"BAT0640","BAT605",0
"BAT0640","BAT606",0
"BAT0640","BAT607",0
"BAT0640","BAT608",0
"BAT0640","BAT609",0
"BAT0640","BAT610",0
"BAT0640","BAT611",0
"BAT0640","BAT612",0
"BAT0640","BAT613",0
"BAT0640","BAT614",0
"BAT0640","BAT615",0
"BAT0640","BAT616",0
"BAT0640","BAT617",0
"BAT0640","BAT618",0
"BAT0640","BAT619",0
"BAT0640","BAT620",0
"BAT0640","BAT621",0
"BAT0640","BAT624",0
"BAT0640","BAT625",0
"BAT0640","BAT626",0
"BAT0640","BAT627",0
"BAT0640","BAT630",0
"BAT0640","BAT631",0
"BAT0640","BAT632",0
"BAT0641","BAT0633",0
"BAT0641","BAT0634",0
"BAT0641","BAT0635",0
"BAT0641","BAT0636",0
"BAT0641","BAT0637",0
"BAT0641","BAT0638",0
"BAT0641","BAT0639",0
"BAT0641","BAT0640",0
"BAT0641","BAT0642",0
"BAT0641","BAT0643",0
"BAT0641","BAT0644",0
"BAT0641","BAT0645",0
"BAT0641","BAT0646",0
"BAT0641","BAT0647",0
"BAT0641","BAT0648",0
"BAT0641","BAT0649",0
"BAT0641","BAT0650",0
"BAT0641","BAT0651",0
"BAT0641","BAT0652",0
