sample_id,CleanDataSize,CleanQ30,TotalContigLength,ContigCount
BAT1552,5321034103,88.18,83502619,185081
BAT1553,1131163493,88.42,7144963,13797
BAT1554,2845845611,86.61,12562399,24747
BAT1555,5207237937,87.55,29785150,44257
BAT1556,3669700823,86.4,19452898,25953
BAT1557,2281800334,90.89,102320948,218421
BAT1587,4933327044,89.63,149514488,302307
BAT1588,8995775479,86.51,97323949,216063
BAT1589,2610993590,89.52,25248235,50584
BAT1590,2523356742,87.12,5053812,10352
BAT1591,2045609606,86.43,10217856,20983
BAT1592,4076141690,87.61,23944943,55904
BAT1593,4452358951,87.01,30253365,61594
BAT1594,2476597360,86.85,7141709,14807
BAT1595,5885808490,86.69,56393078,108999
BAT1596,4463163712,87.5,55672273,123252
BAT1597,4161870587,86.76,25757334,53679
BAT1598,4017899303,87.55,26718964,52042
BAT1599,2068651448,89.63,36507900,66005
BAT16,12436038882,86.96,276833650,495738
BAT1600,2268410233,86.88,10543411,19529
BAT1601,1178885076,87.32,4130311,7898
BAT1602,796222658,88.59,11342684,18856
BAT1603,3523042045,86.5,13325034,27377
BAT1604,2788013129,88.01,28313800,52115
BAT1605,4194874473,88.03,50303294,108674
BAT1606,8191971383,88,126941057,272338
BAT17,3716095211,90.78,239202615,427921
BAT18,21431750423,88.36,405767510,782681
BAT1822,2899572950,89.33,32616114,79665
BAT1823,13662317631,93.44,859213450,842945
BAT1824,2399892618,87.88,16224311,35966
BAT1825,2368800682,90.69,62293743,135439
BAT1826,15826983993,95.98,1105643978,1307549
BAT1827,5278997270,89.5,414046404,657205
BAT1828,7999164062,95.16,725353935,865116
BAT1829,20600458101,95.53,906061036,892704
BAT1830,10121811787,93.7,798186577,857739
BAT1831,9966992079,91.02,675653439,887669
BAT1832,10247729005,90.42,559588998,852383
BAT1833,13277857625,94.95,1129923643,1294410
BAT1834,5443441225,91.99,460358925,664118
BAT1835,16609981981,94.35,1311819507,1820337
BAT1836,9372424833,90.07,567352734,817330
BAT1837,12735429457,94.08,805630921,933267
BAT1838,8391863513,89.91,397705667,754583
BAT1839,5852626265,92.2,474611866,723053
BAT1840,15266695984,92.77,875379536,927565
BAT1841,10280442739,93.14,849876408,1100845
BAT19,8585713812,85.49,21101592,50847
BAT1985,3174525341,94.17,84290048,136813
BAT1986,20545785400,93.24,1110431376,1252407
BAT1987,7289649137,93.15,514684066,725126
BAT1989,5156984553,90.2,204641166,284641
BAT1990,1319722964,92.68,68601355,89057
BAT1991,1908576523,89.57,63662360,111661
BAT1992,2560071560,91.52,130083859,245459
BAT1993,1197378910,90.64,44664389,56258
BAT1994,3289029836,90.4,119368349,254775
BAT1995,1458420053,93.31,65480214,78762
BAT1996,2616654516,92.79,160964113,320691
BAT1997,1381436593,92.99,55353894,97425
BAT1998,595720858,92.54,25692447,50726
BAT1999,1284476024,92.18,31064691,48999
BAT2,14863209309,94.49,1075631308,1226061
BAT20,14147591117,85,71682261,122599
BAT2000,1996283117,90.65,64883867,117923
BAT2001,10878287467,92.45,779309000,943565
BAT2002,2820023471,89.46,65446534,128416
BAT2003,5523260169,92.28,271295896,431480
BAT2004,4629735498,90.61,77557918,171004
BAT2069,2499700541,86.6,27273289,56790
BAT2070,3074001572,84.67,34774629,71733
BAT2071,2525560585,86.33,46204998,84590
BAT2072,3411142876,86.4,55200387,117365
BAT2073,7881938051,85.2,67317874,127377
BAT2074,1996304097,87.91,51626134,84964
BAT2075,14540317997,90.07,1273343934,1949381
BAT2076,3576060006,88.35,81682941,160692
BAT2077,2660371744,85,36082512,71069
BAT2078,4758486274,86.66,148343752,314179
BAT2079,4719588940,86.98,170881655,291039
BAT2080,2296584283,87.05,40243084,75259
BAT2081,1851068481,86.19,36070653,68509
BAT2082,2683498919,87.06,57958145,83470
BAT2083,5772329610,86.84,126320030,251976
BAT2122,1574593173,88.4,36593356,63011
BAT2123,1815424847,86.25,27224318,40998
BAT2124,1941730811,88.23,109714157,149208
BAT2125,6195363991,87.45,290379355,526122
BAT2126,4178756429,90.56,199954752,419345
BAT2127,2043361049,90.81,44985155,53345
BAT2128,1648306279,89.08,90041657,135553
BAT2129,2420164610,89.3,140091156,237813
BAT2130,2859001796,87.95,60016408,85571
BAT2131,1910601447,89.14,40500229,66124
BAT2132,1401386478,89.16,44173157,71301
BAT2133,1499329773,90.69,40055200,44217
BAT2134,1761157613,90.06,45413927,80424
BAT2135,4395218311,91.83,191699710,236958
BAT2136,2546514105,88.82,73667601,133165
BAT2151,2209990649,87.45,32863255,65885
BAT2152,2193494488,88.88,64365355,125469
BAT2153,2505806255,88.81,56867919,88755
BAT2154,2458407497,87.56,68750215,98973
BAT2155,2132220939,90.87,71430187,107749
BAT2156,7730464653,90.24,220058914,210590
BAT2157,3582085560,89.93,159035049,293042
BAT2158,2352538219,88.06,35716047,69420
BAT2159,2463154370,87.17,51045087,100810
BAT2160,2760194908,87.57,58220822,107237
BAT2161,2489523659,88.16,67656851,110443
BAT2162,2977514287,87.74,84132952,134467
BAT2163,3287195459,84.27,56510511,82396
BAT2164,6957031857,87.12,226393394,400356
BAT2165,2600819944,88.66,84841129,164023
BAT22,6605803142,81.43,810496,2368
BAT221,1073087857,85.62,6129328,8687
BAT2223,2638803991,86.67,60977915,123927
BAT2224,2836053201,89.17,123518485,275899
BAT2225,3298870763,86.29,96572965,173686
BAT2226,992514063,88.64,31488282,39615
BAT2227,3831664447,87.46,115033537,254229
BAT2228,3723761120,88.68,145963963,267486
BAT2229,3707932671,86.77,37927498,75107
BAT2230,2883069046,88.74,56476307,123869
BAT2231,2484460553,88.31,68873069,139689
BAT2232,985807572,88.17,27027885,33721
BAT2233,3588969859,86.34,117269908,259706
BAT2234,5599416312,88.38,123842823,272283
BAT2235,7363061747,87.27,551099506,946257
BAT2236,4410514260,89,203174126,427467
BAT2237,2207990463,88.13,75950944,136308
BAT2268,4429281711,86.74,34271995,62570
BAT2269,3831131407,87.68,34691922,66236
BAT2270,3018535553,89.76,136344220,159730
BAT2271,4228563489,87.63,74794509,154599
BAT2272,1635382545,89.28,31842350,57000
BAT2273,2852246863,89.88,92271608,156288
BAT2274,1475147576,90.59,36915133,62376
BAT2275,2736733711,89.8,59516732,126444
BAT2276,1436040728,90.72,31394973,64211
BAT2277,1508380979,87.22,46968180,85209
BAT2320,1335511099,88.89,45745279,76591
BAT2321,4833347034,87.21,107197704,194747
BAT2322,2232220247,88.02,50038620,99545
BAT2323,3894611229,87.27,77910346,168471
BAT2324,2875426265,87.95,30893374,56517
